id,name,latitude,longitude,blood_type,stock
1,Bhubaneswar Hospital O-,20.309602882708024,85.83617353218393,O-,10
2,Bhubaneswar Hospital O+,20.287494040615687,85.81586335323077,O+,3
3,Bhubaneswar Hospital A-,20.3119978782125,85.82076779687674,A-,9
4,Bhubaneswar Hospital A+,20.284550595628374,85.84415116592588,A+,9
5,Bhubaneswar Hospital B-,20.295388476388034,85.83020715562785,B-,8
6,Bhubaneswar Hospital B+,20.29308524063503,85.84008873566124,B+,2
7,Bhubaneswar Hospital AB-,20.30181692839025,85.83011207177549,AB-,8
8,Bhubaneswar Hospital AB+,20.291690583612542,85.83023260610341,AB+,0
9,Cuttack Hospital O-,20.47550160139782,85.86632303310024,O-,6
10,Cuttack Hospital O+,20.45452748960032,85.88862312359788,O+,9
11,Cuttack Hospital A-,20.46158238500693,85.87698149607473,A-,1
12,Cuttack Hospital A+,20.463186427636256,85.88825678290603,A+,8
13,Cuttack Hospital B-,20.466706575614847,85.88304996021995,B-,1
14,Cuttack Hospital B+,20.47096856637709,85.87641173800195,B+,1
15,Cuttack Hospital AB-,20.463674869977496,85.86971846302015,AB-,2
16,Cuttack Hospital AB+,20.460717314460663,85.88561742405344,AB+,7
17,Rourkela Hospital O-,22.28000157507361,84.84059234940939,O-,10
18,Rourkela Hospital O+,22.269413897145892,84.8682980418029,O+,0
19,Rourkela Hospital A-,22.26642477347003,84.8543982879519,A-,7
20,Rourkela Hospital A+,22.25085729783867,84.84501715157226,A+,1
21,Rourkela Hospital B-,22.274954705593075,84.85177370038977,B-,9
22,Rourkela Hospital B+,22.26102012938455,84.83612386794218,B+,2
23,Rourkela Hospital AB-,22.258557395813284,84.85411840341453,AB-,6
24,Rourkela Hospital AB+,22.2771214209355,84.8588372547789,AB+,4
25,Berhampur Hospital O-,19.306597069737407,84.81368515978433,O-,3
26,Berhampur Hospital O+,19.294509235474617,84.80847330473755,O+,9
27,Berhampur Hospital A-,19.30157793252828,84.80537056891602,A-,1
28,Berhampur Hospital A+,19.30401817085449,84.81050679244588,A+,2
29,Berhampur Hospital B-,19.303657526308402,84.80854319079607,B-,0
30,Berhampur Hospital B+,19.31744530455489,84.79215115576851,B+,3
31,Berhampur Hospital AB-,19.299969259136248,84.8011763877395,AB-,6
32,Berhampur Hospital AB+,19.307746091333485,84.783750464933,AB+,0
33,Sambalpur Hospital O-,21.466109215795882,83.98232863955828,O-,7
34,Sambalpur Hospital O+,21.460382986418253,83.98950905167818,O+,10
35,Sambalpur Hospital A-,21.468885443481806,83.97244749742646,A-,5
36,Sambalpur Hospital A+,21.456164645735903,83.96653851682203,A+,2
37,Sambalpur Hospital B-,21.483958169457708,83.96941184627374,B-,2
38,Sambalpur Hospital B+,21.460086627759576,83.96313958195353,B+,0
39,Sambalpur Hospital AB-,21.453025474702734,83.97572205359913,AB-,1
40,Sambalpur Hospital AB+,21.472898241400763,83.95883665026389,AB+,8
41,Puri Hospital O-,19.794038403748285,85.84580203932707,O-,6
42,Puri Hospital O+,19.82652403326222,85.83541183098436,O+,8
43,Puri Hospital A-,19.79431157784687,85.83010526749197,A-,6
44,Puri Hospital A+,19.816406985742933,85.82907123658211,A+,8
45,Puri Hospital B-,19.795208878211465,85.835098712861,B-,2
46,Puri Hospital B+,19.82594214631351,85.81248200899898,B+,0
47,Puri Hospital AB-,19.82358628195681,85.82802354432573,AB-,2
48,Puri Hospital AB+,19.830894448581873,85.83079198770082,AB+,3
49,Balasore Hospital O-,21.495760111691265,86.92321455898632,O-,3
50,Balasore Hospital O+,21.495543103080056,86.95157719943491,O+,7
51,Balasore Hospital A-,21.50705199363572,86.94069704467846,A-,2
52,Balasore Hospital A+,21.49920488836306,86.92693330356859,A+,10
53,Balasore Hospital B-,21.50883097973226,86.93102272389618,B-,6
54,Balasore Hospital B+,21.498014900025865,86.95764649580877,B+,7
55,Balasore Hospital AB-,21.502707014421297,86.95984552109208,AB-,3
56,Balasore Hospital AB+,21.49144932732689,86.94075446603709,AB+,2
57,Bargarh Hospital O-,21.34541190718732,83.6119140408716,O-,3
58,Bargarh Hospital O+,21.350071296374836,83.60018741686703,O+,10
59,Bargarh Hospital A-,21.32429192216812,83.61177572843368,A-,0
60,Bargarh Hospital A+,21.32211485209284,83.61688821376144,A+,3
61,Bargarh Hospital B-,21.35345793892558,83.59744453695899,B-,0
62,Bargarh Hospital B+,21.331282128687466,83.63034710824193,B+,6
63,Bargarh Hospital AB-,21.347602278140926,83.61895882974807,AB-,2
64,Bargarh Hospital AB+,21.33903960488065,83.63284118230574,AB+,7
65,Angul Hospital O-,20.834073936438298,85.14923014064688,O-,0
66,Angul Hospital O+,20.859137823614223,85.13275918875381,O+,9
67,Angul Hospital A-,20.850901685883507,85.1649996015179,A-,9
68,Angul Hospital A+,20.838439070940755,85.13776596711465,A+,1
69,Angul Hospital B-,20.831541368846953,85.15651387895812,B-,1
70,Angul Hospital B+,20.84857595810193,85.16601024134023,B+,1
71,Angul Hospital AB-,20.840776901603235,85.13177180940572,AB-,0
72,Angul Hospital AB+,20.862323966127068,85.15052777454225,AB+,7
73,Jharsuguda Hospital O-,21.836446770916552,84.01547835993256,O-,0
74,Jharsuguda Hospital O+,21.84144671719052,84.01616144827703,O+,5
75,Jharsuguda Hospital A-,21.87288270013772,84.00883877067096,A-,0
76,Jharsuguda Hospital A+,21.855190126138105,84.0177123939909,A+,7
77,Jharsuguda Hospital B-,21.865998103772963,83.99799410008652,B-,1
78,Jharsuguda Hospital B+,21.842018759079316,84.01821959244697,B+,2
79,Jharsuguda Hospital AB-,21.853874256545957,84.01804067211671,AB-,3
80,Jharsuguda Hospital AB+,21.873777889415415,83.99541278208338,AB+,10
81,Dhenkanal Hospital O-,20.642967918103004,85.59786998499119,O-,6
82,Dhenkanal Hospital O+,20.66904877869537,85.60684134712056,O+,6
83,Dhenkanal Hospital A-,20.640091571833068,85.60496751162425,A-,9
84,Dhenkanal Hospital A+,20.65829654034414,85.5946951183836,A+,5
85,Dhenkanal Hospital B-,20.641192335741145,85.59888102471349,B-,6
86,Dhenkanal Hospital B+,20.64523098283662,85.594559666818,B+,0
87,Dhenkanal Hospital AB-,20.659769348298585,85.58845321423046,AB-,8
88,Dhenkanal Hospital AB+,20.644106241311377,85.61201927684981,AB+,0
89,Kendrapara Hospital O-,20.51179671002608,86.40915109420074,O-,9
90,Kendrapara Hospital O+,20.51363031090266,86.41192616426606,O+,8
91,Kendrapara Hospital A-,20.496305863295223,86.43567844699683,A-,8
92,Kendrapara Hospital A+,20.50279999574577,86.4216247238241,A+,6
93,Kendrapara Hospital B-,20.502603354072043,86.40770400800176,B-,5
94,Kendrapara Hospital B+,20.50544654199659,86.4360952676088,B+,5
95,Kendrapara Hospital AB-,20.498186803632134,86.39818520216164,AB-,7
96,Kendrapara Hospital AB+,20.51186225746289,86.42774543491709,AB+,1
97,Jagatsinghpur Hospital O-,20.264874359305033,86.1808588514707,O-,1
98,Jagatsinghpur Hospital O+,20.264590484444113,86.16436164220836,O+,8
99,Jagatsinghpur Hospital A-,20.2415315699479,86.17533883489115,A-,9
100,Jagatsinghpur Hospital A+,20.263970346819026,86.18070616783906,A+,3
101,Jagatsinghpur Hospital B-,20.256107573826995,86.15862307067889,B-,4
102,Jagatsinghpur Hospital B+,20.27432759031517,86.184353771811,B+,2
103,Jagatsinghpur Hospital AB-,20.2617624775741,86.17282579738537,AB-,6
104,Jagatsinghpur Hospital AB+,20.26235254840266,86.16933668805603,AB+,5
105,Koraput Hospital O-,18.801237144146146,82.72054735876858,O-,1
106,Koraput Hospital O+,18.82268637227223,82.69612129881085,O+,0
107,Koraput Hospital A-,18.79517023278015,82.69920055688807,A-,10
108,Koraput Hospital A+,18.80235306717196,82.70592682981915,A+,6
109,Koraput Hospital B-,18.794521531874427,82.7279682473301,B-,9
110,Koraput Hospital B+,18.81508056485047,82.69551947655908,B+,3
111,Koraput Hospital AB-,18.79180540881149,82.72085230043865,AB-,2
112,Koraput Hospital AB+,18.794352739203916,82.72211872262872,AB+,10
113,Rayagada Hospital O-,19.156721993497772,83.40012774434045,O-,3
114,Rayagada Hospital O+,19.157380647751925,83.39776170912386,O+,7
115,Rayagada Hospital A-,19.171923685509842,83.42530754445384,A-,8
116,Rayagada Hospital A+,19.17444792770381,83.41005773731881,A+,1
117,Rayagada Hospital B-,19.175474197790344,83.4346623879513,B-,8
118,Rayagada Hospital B+,19.18810126464074,83.42583705483798,B+,9
119,Rayagada Hospital AB-,19.16596440392248,83.39881404260139,AB-,6
120,Rayagada Hospital AB+,19.155161551214082,83.40792100179762,AB+,2
121,Bolangir Hospital O-,20.71151395389374,83.47987898655265,O-,4
122,Bolangir Hospital O+,20.688206481783084,83.48760924156839,O+,1
